Last_update,Region,Lat,Long_,Confirmed,Recovered,Active,Deaths,Non_Covid_deaths
9/30/2021,Erongo,22.2566,15.4068,18267,17798,54,410,5
9/30/2021,Hardap,24.231,17.6689,7543,7177,109,257,0
9/30/2021,Karas,26.843,17.2903,7805,7549,109,147,0
9/30/2021,Kavango East,18.1859,20.3459,5491,5283,12,195,1
9/30/2021,Kavango West,18.15,18.55,639,611,10,18,0
9/30/2021,Khomas,22.6378,17.1012,41583,40313,411,858,1
9/30/2021,Kunene,19.4086,13.9144,3711,3538,54,119,0
9/30/2021,Ohangwena,17.5979,16.8178,4918,4566,203,147,2
9/30/2021,Omaheke,21.8467,19.188,3982,3727,4,251,0
9/30/2021,Omusati,18.407,14.8455,5643,5361,56,226,0
9/30/2021,Oshana,18.4305,15.6882,9056,8622,105,328,1
9/30/2021,Oshikoto,18.4153,16.9123,6734,6503,56,173,2
9/30/2021,Otjizondjupa,20.5487,17.6689,9401,9118,13,270,0
9/30/2021,Zambezi,17.8193,23.9536,2983,2853,15,115,0
